epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.9160624742507935,0.17172551155090332,0.27833688259124756,0.9893333315849304,0.0941166803240776,0.9572499990463257,0.17945913970470428,0.13544680178165436,1.0,0.09857601672410965
1,0.965624988079071,0.1798904836177826,0.11341584473848343,1.0,0.09883549809455872,0.968666672706604,0.18064872920513153,0.10276574641466141,1.0,0.09929356724023819
2,0.9762083292007446,0.18077756464481354,0.07643809169530869,1.0,0.09937088936567307,0.9740833044052124,0.1811441332101822,0.0865432620048523,1.0,0.09959274530410767
3,0.9818750023841858,0.18106721341609955,0.059423044323921204,1.0,0.09954585880041122,0.9748333096504211,0.18107520043849945,0.0817379355430603,1.0,0.0995512306690216
4,0.9841041564941406,0.18129146099090576,0.048413489013910294,1.0,0.09968133270740509,0.9780833125114441,0.181199312210083,0.07401662319898605,1.0,0.09962601214647293
